firm_name,year_from,year_to,sbert_drift,eu_flag,period,group
Repsol,2023,2024,0.0031,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
RioTinto,2014,2015,0.0144,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2015,2016,0.0127,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2016,2017,0.0113,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2017,2018,0.0252,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2018,2019,0.1557,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2019,2020,0.0223,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
RioTinto,2020,2021,0.0443,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
RioTinto,2021,2022,0.0125,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
RioTinto,2022,2023,0.1313,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
RioTinto,2023,2024,0.1623,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Shell,2014,2015,0.0197,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2015,2016,0.0103,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2016,2017,0.0232,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2017,2018,0.0266,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2018,2019,0.0257,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2019,2020,0.0237,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Shell,2020,2021,0.0453,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Shell,2021,2022,0.0084,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Shell,2022,2023,0.0061,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
