Firm,Period,Rank Spread,scenario,rank
ConocoPhillips,2015->2016,11.0,SBERT-Heavy,76.0
Unilever,2017->2018,21.0,SBERT-Heavy,83.0
ConocoPhillips,2021->2022,29.0,SBERT-Heavy,87.0
Chevron,2022->2023,19.0,SBERT-Heavy,85.0
Shell,2015->2016,18.0,SBERT-Heavy,81.0
Chevron,2016->2017,12.0,SBERT-Heavy,86.0
BP,2022->2023,39.0,SBERT-Heavy,92.0
BP,2015->2016,52.0,SBERT-Heavy,91.0
Shell,2021->2022,15.0,SBERT-Heavy,89.0
BP,2020->2021,30.0,SBERT-Heavy,94.0
TotalEnergies,2023->2024,19.0,SBERT-Heavy,96.0
Repsol,2017->2018,12.0,SBERT-Heavy,95.0
Equinor,2020->2021,10.0,SBERT-Heavy,88.0
Equinor,2014->2015,10.0,SBERT-Heavy,93.0
Equinor,2019->2020,9.0,SBERT-Heavy,97.0
RioTinto,2016->2017,10.0,SBERT-Heavy,90.0
TotalEnergies,2017->2018,10.0,SBERT-Heavy,99.0
Glencore,2020->2021,20.0,SBERT-Heavy,84.0
Unilever,2022->2023,29.0,SBERT-Heavy,100.0
Glencore,2015->2016,31.0,SBERT-Heavy,75.0
Repsol,2023->2024,11.0,SBERT-Heavy,102.0
Equinor,2016->2017,8.0,SBERT-Heavy,98.0
Shell,2022->2023,7.0,SBERT-Heavy,101.0
Repsol,2021->2022,37.0,SBERT-Heavy,104.0
Chevron,2015->2016,3.0,SBERT-Heavy,103.0
Glencore,2022->2023,6.0,SBERT-Heavy,105.0
ConocoPhillips,2023->2024,2.0,SBERT-Heavy,106.0
Unilever,2014->2015,2.0,LDA-JSD-Heavy,3.0
ExxonMobil,2022->2023,2.0,LDA-JSD-Heavy,2.0
RioTinto,2023->2024,2.0,LDA-JSD-Heavy,1.0
RioTinto,2018->2019,1.0,LDA-JSD-Heavy,4.0
RioTinto,2022->2023,24.0,LDA-JSD-Heavy,6.0
Chevron,2023->2024,2.0,LDA-JSD-Heavy,5.0
ConocoPhillips,2017->2018,46.0,LDA-JSD-Heavy,7.0
ConocoPhillips,2018->2019,37.0,LDA-JSD-Heavy,28.0
ConocoPhillips,2014->2015,2.0,LDA-JSD-Heavy,8.0
Equinor,2017->2018,29.0,LDA-JSD-Heavy,15.0
Equinor,2021->2022,8.0,LDA-JSD-Heavy,9.0
RioTinto,2020->2021,4.0,LDA-JSD-Heavy,16.0
Shell,2020->2021,22.0,LDA-JSD-Heavy,24.0
ConocoPhillips,2022->2023,6.0,LDA-JSD-Heavy,13.0
TotalEnergies,2020->2021,10.0,LDA-JSD-Heavy,11.0
Unilever,2023->2024,12.0,LDA-JSD-Heavy,12.0
Eni,2016->2017,57.0,LDA-JSD-Heavy,30.0
Eni,2020->2021,50.0,LDA-JSD-Heavy,20.0
Chevron,2020->2021,14.0,LDA-JSD-Heavy,17.0
ConocoPhillips,2019->2020,8.0,LDA-JSD-Heavy,21.0
Unilever,2021->2022,24.0,LDA-JSD-Heavy,10.0
ExxonMobil,2023->2024,19.0,LDA-JSD-Heavy,14.0
ConocoPhillips,2020->2021,12.0,LDA-JSD-Heavy,25.0
RioTinto,2017->2018,25.0,LDA-JSD-Heavy,37.0
Unilever,2019->2020,18.0,LDA-JSD-Heavy,23.0
Shell,2019->2020,9.0,LDA-JSD-Heavy,22.0
TotalEnergies,2021->2022,25.0,LDA-JSD-Heavy,32.0
Repsol,2019->2020,7.0,LDA-JSD-Heavy,26.0
Unilever,2020->2021,28.0,LDA-JSD-Heavy,41.0
Glencore,2021->2022,10.0,LDA-JSD-Heavy,29.0
BP,2019->2020,21.0,LDA-JSD-Heavy,18.0
Chevron,2019->2020,29.0,LDA-JSD-Heavy,19.0
Shell,2016->2017,6.0,LDA-JSD-Heavy,35.0
Repsol,2020->2021,31.0,LDA-JSD-Heavy,33.0
Glencore,2023->2024,37.0,LDA-JSD-Heavy,36.0
Shell,2017->2018,31.0,LDA-JSD-Heavy,46.0
Equinor,2018->2019,36.0,LDA-JSD-Heavy,40.0
Eni,2018->2019,31.0,LDA-JSD-Heavy,42.0
BP,2018->2019,13.0,LDA-JSD-Heavy,34.0
Glencore,2017->2018,30.0,LDA-JSD-Heavy,43.0
Glencore,2018->2019,33.0,LDA-JSD-Heavy,31.0
Equinor,2023->2024,28.0,LDA-JSD-Heavy,51.0
Chevron,2018->2019,27.0,LDA-JSD-Heavy,47.0
RioTinto,2019->2020,30.0,LDA-JSD-Heavy,56.0
Equinor,2015->2016,31.0,LDA-JSD-Heavy,57.0
Glencore,2014->2015,31.0,LDA-JSD-Heavy,58.0
Eni,2021->2022,22.0,LDA-JSD-Heavy,50.0
BP,2017->2018,40.0,LDA-JSD-Heavy,49.0
Eni,2017->2018,58.0,LDA-JSD-Heavy,60.0
Eni,2019->2020,42.0,LDA-JSD-Heavy,65.0
Chevron,2014->2015,20.0,LDA-JSD-Heavy,39.0
TotalEnergies,2016->2017,13.0,LDA-JSD-Heavy,61.0
Shell,2014->2015,39.0,LDA-JSD-Heavy,81.0
Shell,2018->2019,62.0,LDA-JSD-Heavy,96.0
Eni,2022->2023,31.0,LDA-JSD-Heavy,72.0
BP,2021->2022,27.0,LDA-JSD-Heavy,66.0
Repsol,2018->2019,59.0,LDA-JSD-Heavy,27.0
Glencore,2019->2020,20.0,LDA-JSD-Heavy,53.0
Equinor,2022->2023,64.0,LDA-JSD-Heavy,59.0
Glencore,2016->2017,23.0,LDA-JSD-Heavy,55.0
RioTinto,2014->2015,7.0,LDA-JSD-Heavy,63.0
RioTinto,2021->2022,24.0,LDA-JSD-Heavy,45.0
RioTinto,2015->2016,16.0,LDA-JSD-Heavy,70.0
Chevron,2021->2022,22.0,LDA-JSD-Heavy,75.0
ConocoPhillips,2016->2017,10.0,LDA-JSD-Heavy,71.0
Chevron,2017->2018,16.0,LDA-JSD-Heavy,74.0
ExxonMobil,2017->2018,18.0,LDA-JSD-Heavy,79.0
Eni,2015->2016,32.0,LDA-JSD-Heavy,84.0
Unilever,2018->2019,15.0,LDA-JSD-Heavy,68.0
Unilever,2015->2016,35.0,LDA-JSD-Heavy,73.0
BP,2014->2015,25.0,LDA-JSD-Heavy,76.0
TotalEnergies,2018->2019,32.0,LDA-JSD-Heavy,69.0
Eni,2023->2024,52.0,LDA-JSD-Heavy,48.0
Unilever,2016->2017,19.0,LDA-JSD-Heavy,83.0
BP,2023->2024,18.0,LDA-JSD-Heavy,62.0
BP,2016->2017,48.0,LDA-JSD-Heavy,38.0
Repsol,2022->2023,37.0,LDA-JSD-Heavy,77.0
TotalEnergies,2019->2020,21.0,LDA-JSD-Heavy,86.0
TotalEnergies,2022->2023,29.0,LDA-JSD-Heavy,52.0
ConocoPhillips,2015->2016,11.0,LDA-JSD-Heavy,85.0
Unilever,2017->2018,21.0,LDA-JSD-Heavy,78.0
ConocoPhillips,2021->2022,29.0,LDA-JSD-Heavy,80.0
Chevron,2022->2023,19.0,LDA-JSD-Heavy,87.0
Shell,2015->2016,18.0,LDA-JSD-Heavy,90.0
Chevron,2016->2017,12.0,LDA-JSD-Heavy,82.0
BP,2022->2023,39.0,LDA-JSD-Heavy,54.0
BP,2015->2016,52.0,LDA-JSD-Heavy,44.0
Shell,2021->2022,15.0,LDA-JSD-Heavy,88.0
BP,2020->2021,30.0,LDA-JSD-Heavy,64.0
TotalEnergies,2023->2024,19.0,LDA-JSD-Heavy,93.0
Repsol,2017->2018,12.0,LDA-JSD-Heavy,91.0
Equinor,2020->2021,10.0,LDA-JSD-Heavy,98.0
Equinor,2014->2015,10.0,LDA-JSD-Heavy,97.0
Equinor,2019->2020,9.0,LDA-JSD-Heavy,94.0
RioTinto,2016->2017,10.0,LDA-JSD-Heavy,100.0
TotalEnergies,2017->2018,10.0,LDA-JSD-Heavy,92.0
Glencore,2020->2021,20.0,LDA-JSD-Heavy,104.0
Unilever,2022->2023,29.0,LDA-JSD-Heavy,95.0
Glencore,2015->2016,31.0,LDA-JSD-Heavy,89.0
Repsol,2023->2024,11.0,LDA-JSD-Heavy,101.0
Equinor,2016->2017,8.0,LDA-JSD-Heavy,105.0
Shell,2022->2023,7.0,LDA-JSD-Heavy,102.0
Repsol,2021->2022,37.0,LDA-JSD-Heavy,67.0
Chevron,2015->2016,3.0,LDA-JSD-Heavy,103.0
Glencore,2022->2023,6.0,LDA-JSD-Heavy,99.0
ConocoPhillips,2023->2024,2.0,LDA-JSD-Heavy,106.0
Unilever,2014->2015,2.0,Jaccard-Heavy,2.0
ExxonMobil,2022->2023,2.0,Jaccard-Heavy,3.0
RioTinto,2023->2024,2.0,Jaccard-Heavy,1.0
RioTinto,2018->2019,1.0,Jaccard-Heavy,4.0
RioTinto,2022->2023,24.0,Jaccard-Heavy,6.0
Chevron,2023->2024,2.0,Jaccard-Heavy,5.0
ConocoPhillips,2017->2018,46.0,Jaccard-Heavy,7.0
ConocoPhillips,2018->2019,37.0,Jaccard-Heavy,8.0
ConocoPhillips,2014->2015,2.0,Jaccard-Heavy,9.0
Equinor,2017->2018,29.0,Jaccard-Heavy,11.0
Equinor,2021->2022,8.0,Jaccard-Heavy,10.0
RioTinto,2020->2021,4.0,Jaccard-Heavy,12.0
Shell,2020->2021,22.0,Jaccard-Heavy,15.0
ConocoPhillips,2022->2023,6.0,Jaccard-Heavy,17.0
TotalEnergies,2020->2021,10.0,Jaccard-Heavy,14.0
Unilever,2023->2024,12.0,Jaccard-Heavy,18.0
Eni,2016->2017,57.0,Jaccard-Heavy,20.0
Eni,2020->2021,50.0,Jaccard-Heavy,21.0
Chevron,2020->2021,14.0,Jaccard-Heavy,16.0
ConocoPhillips,2019->2020,8.0,Jaccard-Heavy,13.0
Unilever,2021->2022,24.0,Jaccard-Heavy,23.0
ExxonMobil,2023->2024,19.0,Jaccard-Heavy,19.0
ConocoPhillips,2020->2021,12.0,Jaccard-Heavy,22.0
RioTinto,2017->2018,25.0,Jaccard-Heavy,24.0
Unilever,2019->2020,18.0,Jaccard-Heavy,33.0
Shell,2019->2020,9.0,Jaccard-Heavy,27.0
TotalEnergies,2021->2022,25.0,Jaccard-Heavy,26.0
Repsol,2019->2020,7.0,Jaccard-Heavy,32.0
Unilever,2020->2021,28.0,Jaccard-Heavy,38.0
Glencore,2021->2022,10.0,Jaccard-Heavy,35.0
BP,2019->2020,21.0,Jaccard-Heavy,36.0
Chevron,2019->2020,29.0,Jaccard-Heavy,30.0
Shell,2016->2017,6.0,Jaccard-Heavy,29.0
Repsol,2020->2021,31.0,Jaccard-Heavy,28.0
Glencore,2023->2024,37.0,Jaccard-Heavy,37.0
Shell,2017->2018,31.0,Jaccard-Heavy,39.0
Equinor,2018->2019,36.0,Jaccard-Heavy,34.0
Eni,2018->2019,31.0,Jaccard-Heavy,25.0
BP,2018->2019,13.0,Jaccard-Heavy,43.0
Glencore,2017->2018,30.0,Jaccard-Heavy,31.0
Glencore,2018->2019,33.0,Jaccard-Heavy,40.0
Equinor,2023->2024,28.0,Jaccard-Heavy,42.0
Chevron,2018->2019,27.0,Jaccard-Heavy,44.0
RioTinto,2019->2020,30.0,Jaccard-Heavy,62.0
Equinor,2015->2016,31.0,Jaccard-Heavy,49.0
Glencore,2014->2015,31.0,Jaccard-Heavy,48.0
Eni,2021->2022,22.0,Jaccard-Heavy,45.0
BP,2017->2018,40.0,Jaccard-Heavy,50.0
Eni,2017->2018,58.0,Jaccard-Heavy,46.0
Eni,2019->2020,42.0,Jaccard-Heavy,47.0
Chevron,2014->2015,20.0,Jaccard-Heavy,56.0
TotalEnergies,2016->2017,13.0,Jaccard-Heavy,53.0
Shell,2014->2015,39.0,Jaccard-Heavy,60.0
Shell,2018->2019,62.0,Jaccard-Heavy,70.0
Eni,2022->2023,31.0,Jaccard-Heavy,41.0
BP,2021->2022,27.0,Jaccard-Heavy,59.0
Repsol,2018->2019,59.0,Jaccard-Heavy,68.0
Glencore,2019->2020,20.0,Jaccard-Heavy,58.0
Equinor,2022->2023,64.0,Jaccard-Heavy,79.0
Glencore,2016->2017,23.0,Jaccard-Heavy,57.0
RioTinto,2014->2015,7.0,Jaccard-Heavy,63.0
